Year,Country,Maternal Mortality Rate ,Skilled Birth Attendants,Healthcare Access,Income Level,Education Level %,Maternal Health Services %,Contraceptive Prevalence %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2022,Brazil,997,5503,55,15264,39,52,58,62,9.4607,89,15,84,38,2.249,86.977
2028,China,148,2052,318,69838,27,78,32,57,5.3059,72,28,66,36,6.021,76.274
2029,Gambia,578,8013,97,71641,84,57,48,56,8.403,87,21,68,29,3.882,42.84
2029,Bangladesh,1207,746,274,83700,38,81,73,75,13.9133,59,40,65,20,6.946,47.082
2030,Colombia,997,5289,85,59296,60,97,73,53,10.8614,46,34,72,31,5.764,77.141
2023,Russia,52,3069,159,53429,19,50,86,85,9.9098,79,32,89,45,1.336,43.198
2030,Philippines,320,1997,205,3604,25,71,78,58,10.0016,82,17,71,26,3.153,47.818
2017,Luxembourg,655,4327,306,63269,47,56,82,54,11.4649,49,41,67,13,4.664,40.47
2024,Iran,785,4724,144,17765,63,65,65,81,13.7701,62,17,86,36,4.681,70.392
2027,Argentina,133,343,202,87024,30,81,71,95,7.6348,76,37,71,45,2.672,74.722
2026,Philippines,362,4842,192,74134,68,96,66,90,11.4591,48,36,72,18,6.007,77.554
2021,Poland,367,1708,138,66440,75,68,39,44,9.5959,31,19,77,35,5.395,89.939
2016,Russia,453,2213,174,4711,33,100,61,88,14.1309,76,27,88,14,3.044,75.064
2029,Sweden,1007,8021,465,94940,42,97,87,93,12.158,43,47,68,24,4.376,89.111
2021,Panama,529,3928,211,54237,37,92,95,83,8.3692,79,13,88,13,6.28,85.141
2018,China,1112,3129,183,21658,49,55,66,74,6.3133,72,49,64,37,5.391,76.572
2024,Bosnia and Herzegovina,6,4975,450,30581,75,93,39,83,6.0749,71,17,77,28,1.851,70.365
2021,Chile,86,8025,159,48048,34,70,83,56,14.6165,32,13,79,18,6.687,66.304
2018,China,210,199,252,47733,73,64,81,66,14.2957,81,39,81,15,5.786,52.301
2021,Nepal,143,192,218,18807,69,56,38,66,8.4443,41,44,63,22,4.635,53.188
2025,Morocco,365,4287,190,2994,15,72,51,76,13.82,90,46,60,14,5.525,45.729
2024,United States,1076,2858,195,34013,44,59,85,46,10.1518,63,35,82,44,1.674,87.468
2022,Canada,558,8095,333,64066,54,100,40,93,5.5844,37,28,82,42,6.781,78.006
2028,Niger,160,9591,398,1726,41,53,38,47,7.3467,82,50,82,43,1.447,68.722
2029,China,59,815,299,96340,68,72,47,47,10.4667,42,12,62,48,5.39,88.126
2030,Portugal,295,1778,448,39414,16,81,47,43,6.3574,69,18,84,37,6.016,55.546
2026,Spain,1048,8766,116,8545,24,54,44,80,5.8732,68,31,79,48,4.561,60.919
2029,Colombia,1052,4641,63,27606,46,55,65,60,4.2821,58,16,67,49,6.517,44.291
2023,Indonesia,1272,8626,274,18758,42,59,72,44,3.4358,46,16,86,44,3.179,46.365
2027,United States,1163,6257,292,39080,99,70,76,87,9.4218,62,23,84,28,4.497,56.469
2030,Pakistan,44,8768,376,24923,82,54,52,80,6.0355,81,27,81,39,1.369,53.558
2022,Guatemala,286,3914,196,10274,69,74,62,74,6.5419,73,18,60,39,6.085,42.462
2027,China,357,9011,318,74983,55,81,73,89,9.2883,78,14,78,15,6.516,83.93
2027,Indonesia,272,4496,160,57462,65,98,76,59,12.1169,56,14,74,49,3.089,74.701
2024,China,216,4360,123,37884,88,69,88,73,7.0709,54,38,69,29,6.747,62.106
2019,Indonesia,969,1078,241,43015,80,78,71,47,5.8073,89,25,85,48,4.457,42.883
2024,Colombia,697,6390,335,65646,43,65,48,51,11.2779,49,13,90,20,1.956,76.374
2025,Indonesia,527,3995,342,36218,40,99,60,65,7.4935,41,10,81,47,1.993,71.05
2028,Poland,883,7853,176,42790,83,75,84,76,10.5395,31,44,84,13,5.804,63.901
2016,Chile,1295,5182,405,9667,48,51,83,67,8.3197,82,49,88,45,3.425,73.111
2026,Indonesia,531,6788,462,3157,42,77,31,77,6.9813,83,45,60,30,1.135,70.986
2030,Peru,127,4755,398,42833,63,53,59,70,6.7878,34,22,73,46,3.226,89.042
2021,China,278,9284,255,50323,21,86,37,69,9.9537,63,49,61,39,4.207,54.36
2017,Slovenia,61,5127,188,37888,78,56,52,42,14.9669,51,16,89,42,4.49,46.051
2021,Estonia,925,4972,21,74888,89,74,53,84,5.1428,64,11,86,30,6.105,41.322
2021,Mexico,618,8503,151,28794,31,83,38,49,14.194,70,48,89,27,6.615,88.311
2016,Russia,955,6286,141,65638,54,78,65,42,12.8737,44,14,84,31,3.51,43.827
2020,Argentina,991,7162,211,31858,89,100,46,53,13.4063,60,47,70,25,2.315,58.276
2025,Canada,418,6383,278,14073,56,70,48,98,6.9129,40,36,80,24,1.87,58.019
2026,Indonesia,743,8215,392,59369,79,90,40,92,3.0032,84,44,88,24,4.655,58.045
2021,China,533,2940,306,99453,70,91,39,54,12.6526,68,26,84,41,4.251,68.842
2020,United States,758,3065,420,4036,76,94,60,51,5.2163,89,36,63,13,6.045,67.544
2028,Indonesia,1271,8937,304,96147,96,62,97,88,12.3723,77,47,76,24,1.521,80.595
2029,China,1241,3835,27,68834,62,65,49,76,12.7971,90,36,72,17,2.935,68.689
2022,France,946,9580,139,58308,33,71,79,48,10.5669,57,44,88,21,6.248,62.581
2019,China,278,9314,461,90184,13,73,33,76,11.8167,58,29,60,26,6.424,54.997
2028,Philippines,1072,4266,355,33013,76,81,85,48,8.4481,81,20,77,25,3.87,51.89
2029,Ukraine,294,464,453,37181,43,90,48,95,7.9079,32,24,62,26,1.655,66.768
2027,United States,187,2736,102,91010,81,58,47,47,8.6993,81,30,63,49,1.984,45.468
2029,Egypt,1169,5615,188,19303,69,59,95,57,5.6871,79,26,85,15,3.856,81.457
2025,Netherlands,355,9674,245,90859,50,79,59,77,12.2086,86,20,73,39,3.797,48.253
2024,Poland,502,2135,182,38788,59,86,67,60,9.3189,38,14,63,50,5.284,46.676
2023,Russia,527,2522,14,62275,81,52,42,66,14.278,83,42,60,31,6.572,84.435
2021,Kazakhstan,194,5692,337,55669,30,62,53,84,13.0377,75,41,87,30,1.864,54.74
2028,China,532,8385,235,69669,18,86,77,40,4.2636,54,17,66,31,3.94,79.222
2016,Japan,271,1159,204,42253,13,50,32,61,11.003,53,15,84,13,2.785,50.839
2024,Poland,1198,7922,42,15661,58,55,81,58,8.7605,61,50,86,34,4.319,45.437
2026,Philippines,938,9474,387,97424,28,82,42,44,5.112,30,41,81,41,3.711,68.779
2023,Indonesia,363,2794,121,31171,16,71,57,72,6.6355,60,14,72,25,4.217,52.202
2025,Brazil,767,3855,355,76162,84,100,54,74,13.8185,79,43,78,32,1.484,56.038
2024,Vietnam,997,7956,212,92048,96,61,79,99,7.6964,77,45,70,27,5.757,58.093
2015,Indonesia,1013,8055,132,11537,78,83,77,67,3.2897,47,40,72,19,4.111,68.225
2027,Pakistan,228,2399,336,67942,72,75,54,65,14.5852,48,48,90,38,1.258,56.009
2029,Argentina,863,7334,168,25648,90,58,59,47,6.7189,41,40,83,26,4.561,71.325
2025,Mongolia,545,8947,469,56325,50,64,58,65,8.7224,68,24,84,13,6.822,76.794
2019,United States,1283,6737,134,27108,86,86,93,54,8.1578,78,47,66,49,2.644,50.713
2027,Philippines,1008,3667,88,36430,18,91,63,82,3.8343,55,33,65,20,2.724,59.609
2022,Philippines,45,2921,365,71208,26,50,85,58,8.7618,81,36,76,40,6.434,69.438
2021,Philippines,346,1101,335,60351,68,90,56,64,3.7688,72,28,90,27,3.432,47.244
2019,South Africa,279,5525,66,72967,61,52,97,54,8.3012,87,25,71,15,6.023,65.334
2023,France,519,1009,485,43587,75,63,69,77,3.9588,65,22,88,49,5.353,42.244
2024,Russia,484,6286,282,82821,86,96,36,62,6.1802,80,24,70,31,3.97,53.468
2021,Russia,1057,885,460,61390,43,76,87,82,12.2963,65,21,77,39,1.795,77.854
2025,Zambia,866,724,363,20768,16,74,70,72,10.7246,75,46,69,47,4.359,47.431
2022,Serbia,720,5861,167,76885,83,99,73,53,3.4024,51,50,76,44,3.35,85.059
2018,Togo,468,1910,292,97966,13,87,54,90,7.1253,79,28,85,18,4.126,66.334
2020,Brazil,360,2392,247,85356,59,50,62,44,8.0403,59,35,62,36,1.846,66.024
2030,Brazil,867,4675,193,63988,24,87,31,50,8.4975,85,17,68,43,4.989,80.547
2030,Pakistan,997,6329,257,10129,12,95,90,93,10.1158,60,25,66,13,3.18,40.298
2024,Palestinian Territory,1046,2249,270,56168,86,90,79,87,3.2766,33,50,61,35,6.048,60.881
2026,China,374,9891,288,63890,92,62,80,71,8.5653,34,35,65,20,5.666,41.387
2021,Indonesia,855,4258,215,11879,72,85,32,60,5.2673,37,38,85,42,2.185,43.035
2030,Thailand,32,2586,49,13941,27,94,80,74,8.5784,57,27,68,24,1.954,51.369
2020,Belarus,1081,7810,42,45445,76,77,56,58,3.5511,79,32,60,14,2.246,57.277
2026,Sri Lanka,982,4522,463,35128,18,58,75,93,4.7511,35,48,76,33,2.58,49.983
2016,China,1238,4830,36,32241,93,99,43,93,12.8924,77,25,87,22,3.915,80.072
2019,China,992,1062,295,40566,93,92,38,89,11.9734,72,29,88,22,4.606,76.922
2020,Ireland,896,7792,319,32456,86,88,87,95,13.1499,39,16,77,19,4.259,66.288
2021,Tunisia,450,4827,23,20300,98,56,91,55,11.9171,51,28,74,44,5.501,43.064
2023,Brazil,959,3048,341,63683,75,90,59,63,12.0006,30,48,85,23,6.832,47.882
2019,Indonesia,912,4549,440,32226,76,60,79,62,9.9435,37,50,73,20,6.147,47.616
2020,Chile,994,7478,167,55407,99,91,80,80,12.819,39,14,71,25,3.699,44.228
2015,Indonesia,948,4389,393,94960,64,53,46,75,4.792,54,19,65,19,2.852,55.642
2022,China,580,3109,331,67942,93,96,38,96,6.518,71,49,63,33,1.797,85.655
2030,Portugal,239,5368,307,65494,44,68,80,74,14.5378,34,45,69,50,3.984,71.581
2027,China,1127,6525,285,22812,90,81,99,77,4.9717,82,42,79,24,1.094,55.525
2030,Russia,472,9353,492,88493,45,87,54,99,8.0506,38,23,79,34,2.492,64.849
2015,China,1229,4826,358,17144,43,71,45,43,5.4633,73,36,71,42,1.964,44.926
2016,Madagascar,745,6241,261,53580,82,93,65,50,3.8802,32,20,73,23,5.826,89.936
2029,China,576,2537,416,89717,89,83,92,45,7.1783,49,50,68,45,3.28,71.562
2029,Poland,602,1673,416,83861,65,96,67,67,14.7415,85,14,90,29,4.222,46.678
2019,Japan,366,3750,221,9308,34,68,96,67,10.2215,46,18,60,39,3.615,79.529
2023,Cameroon,1297,9215,361,54268,32,100,85,64,8.3649,31,19,64,21,4.79,53.061
2015,Venezuela,1229,2686,117,73124,82,74,44,70,6.5101,41,16,73,21,5.51,42.165
2024,China,986,5652,341,35677,58,91,67,68,4.6281,57,46,76,37,1.225,79.622
2030,Russia,233,8184,419,68959,52,63,69,100,13.5736,74,45,83,25,2.761,58.82
2015,Vietnam,583,1700,461,98055,44,94,80,61,10.1326,80,27,84,20,4.925,47.083
2024,Gambia,115,1769,35,84796,99,71,35,41,13.7869,80,26,88,31,3.183,77.762
2019,Mayotte,299,7558,37,64274,21,62,35,74,9.1626,50,42,82,37,5.461,65.43
2029,Indonesia,1021,8475,314,81052,70,65,91,93,9.556,83,15,72,32,5.61,83.342
2016,Iran,198,4091,250,74455,62,59,55,67,5.2422,70,32,89,42,5.758,71.43
2030,China,993,4867,298,17284,86,57,30,58,14.3618,58,43,85,45,6.927,56.347
2022,Ukraine,1298,2498,364,4923,59,64,73,74,13.1866,81,36,64,29,4.607,58.355
2015,Sweden,1166,3236,240,30791,100,53,84,53,14.669,61,42,85,17,1.793,73.703
2029,Poland,807,2157,266,45587,16,57,83,85,3.4193,38,24,86,30,2.011,49.869
2026,China,488,603,27,3539,25,52,66,59,13.6657,56,42,67,14,1.884,64.051
2030,Russia,997,8323,13,89621,80,70,92,95,7.8586,82,32,70,23,4.832,43.98
2016,Russia,753,9449,312,32690,60,97,44,92,7.823,81,23,71,19,4.445,47.364
2016,Philippines,528,513,481,72658,90,87,37,46,10.1864,44,49,68,30,6.995,54.12
2029,Malawi,811,8592,142,26845,84,93,57,99,6.6639,84,38,62,35,6.089,75.236
2022,South Sudan,1203,5892,111,21108,31,76,46,99,12.0552,31,46,69,30,6.48,86.196
2027,China,1245,6269,458,57007,100,51,99,82,7.5972,81,22,70,30,5.539,75.845
2025,China,914,2665,348,49425,48,95,66,43,13.256,31,42,64,14,6.688,83.268
2018,Georgia,574,2922,108,67871,28,75,70,61,4.1673,82,12,78,26,6.725,54.914
2022,Poland,826,4670,219,20163,68,92,97,44,10.6695,40,31,63,21,2.193,73.848
2028,Ukraine,1289,4005,107,51987,72,94,49,89,13.4539,40,18,86,46,2.804,72.909
2018,Paraguay,1071,6342,30,83110,51,81,75,61,11.4328,84,32,81,49,6.514,77.852
2025,Hungary,1200,7628,382,14850,38,83,93,83,6.5487,43,17,78,17,4.79,70.043
2027,Cuba,673,4753,12,71185,90,56,66,73,4.4015,63,49,86,36,6.927,55.172
2018,Canada,1139,6840,199,73082,46,77,61,74,5.5273,68,15,69,15,2.407,77.535
2023,Nigeria,488,96,293,68308,34,73,46,63,7.716,46,48,77,38,2.405,86.314
2018,Dominican Republic,33,8716,379,95637,13,75,99,55,3.774,52,44,76,42,2.08,51.937
2018,United States,114,956,319,86052,31,74,60,64,11.2261,56,48,89,26,1.83,65.942
2019,Russia,1175,8317,462,46742,67,50,71,50,12.876,81,48,61,27,3.357,86.355
2017,China,1019,1817,385,91734,100,93,100,94,9.2286,46,10,77,33,5.307,66.56
2021,Canada,1021,3828,195,68316,59,60,100,64,8.6086,46,34,76,43,6.45,77.145
2018,Honduras,953,4663,266,26956,67,60,68,40,13.6286,87,17,89,16,1.596,67.46
2025,Argentina,1137,7154,211,50198,72,93,37,92,10.4626,37,31,83,33,1.469,47.31
2017,Lebanon,1117,9847,184,70594,54,88,51,64,12.2213,76,34,62,27,6.65,61.82
2017,South Africa,922,3878,311,99093,54,95,74,43,9.5193,44,44,82,46,3.848,70.208
2023,Zambia,984,383,97,31590,77,90,48,62,4.6148,87,20,78,41,3.684,42.648
2017,Indonesia,692,6623,260,99656,84,63,41,91,12.0833,37,36,72,39,3.849,78.202
2024,Czech Republic,431,5387,400,54352,57,88,68,74,11.0764,77,30,84,14,5.712,72.108
2020,Colombia,367,6307,75,23915,86,80,87,92,10.8452,72,39,68,27,6.757,79.535
2016,Indonesia,839,3078,303,70982,36,53,41,63,12.4772,56,35,84,16,3.289,52.773
2015,Palestinian Territory,435,1447,394,65729,91,98,32,41,3.9099,65,17,71,42,1.105,70.406
2015,Mali,376,4686,119,56049,19,98,37,77,4.2363,55,32,73,29,4.773,86.458
2023,China,1183,7434,88,18585,50,83,68,56,8.1808,44,13,61,15,2.084,57.358
2028,Indonesia,860,6785,310,81424,56,96,45,54,4.3539,43,38,69,46,3.039,43.735
2018,Yemen,893,3942,361,90742,91,87,90,40,6.0842,39,44,87,15,3.505,71.35
2023,Brazil,1140,6988,327,43813,36,61,93,46,12.1564,38,10,60,16,4.221,54.688
2024,China,109,3307,425,17254,42,74,37,79,7.9268,39,44,66,23,2.562,41.786
2030,Croatia,356,8225,157,5248,51,56,51,54,14.0002,76,24,83,42,6.014,55.495
2016,Democratic Republic of the Congo,595,9815,418,71522,86,82,85,55,5.1954,74,42,88,20,3.987,49.547
2025,Indonesia,1070,8625,201,43313,51,82,51,90,10.7963,49,42,68,39,3.657,43.038
2025,China,1084,5478,150,42911,72,80,76,93,5.0591,79,16,81,13,4.643,72.453
2018,Uzbekistan,910,6357,486,22809,44,89,46,68,14.7104,70,44,63,26,1.867,63.62
2030,Canada,975,2836,210,69729,81,73,35,69,4.3028,65,39,87,30,4.345,76.858
2026,Russia,808,5615,373,98285,23,63,67,74,4.0604,85,33,63,39,5.231,74.017
2025,Czech Republic,1055,2575,208,64621,76,68,77,95,12.2733,79,14,72,35,5.109,63.545
2021,Brazil,758,8366,319,15348,63,88,44,78,9.0367,62,31,83,47,3.695,77.524
2029,Cameroon,316,1762,316,76556,70,100,34,93,7.4653,32,36,90,13,2.817,61.408
2027,Indonesia,1210,1918,219,34184,37,76,68,51,9.7776,43,33,75,29,1.974,46.692
2019,Argentina,56,4305,26,84805,24,89,95,69,9.7389,32,24,83,22,4.96,50.704
2028,Japan,123,8901,284,80269,94,52,92,68,12.6534,54,29,61,22,2.165,65.289
2024,Russia,406,6619,294,3819,23,86,86,82,3.6034,68,34,82,38,3.829,81.074
2018,United States,563,2990,37,27124,71,69,35,43,14.6883,46,19,83,33,2.592,73.546
2028,United States,485,2262,83,24393,84,57,97,41,6.604,75,27,86,36,3.31,70.692
2023,Philippines,990,8530,207,12063,86,98,84,56,3.3729,39,11,88,41,2.196,77.223
2024,Colombia,108,170,71,66702,23,51,44,77,5.8145,49,34,86,47,1.082,48.971
2017,Lebanon,581,7748,105,34537,81,76,79,79,10.3478,69,43,66,13,2.548,89.276
2021,Indonesia,1274,9056,46,9754,16,72,46,87,7.6155,49,19,90,43,3.321,62.384
2024,Serbia,557,6880,257,13131,27,91,86,75,3.8154,83,16,60,37,6.059,42.92
2018,China,884,8331,148,50849,29,83,88,72,14.6419,67,30,82,36,3.283,43.14
2018,Poland,1195,3579,254,9564,57,65,43,73,10.085,46,33,71,16,6.827,88.781
2018,Zimbabwe,8,4708,103,8885,12,65,67,85,3.2152,47,15,89,43,5.872,66.235
2027,Portugal,1083,8639,322,27859,69,60,32,91,7.6952,48,25,67,32,6.201,55.672
2023,Zambia,443,3047,434,69822,66,83,89,85,5.1467,65,43,65,37,5.257,86.281
2026,Brazil,720,4165,162,30453,38,52,32,55,12.3884,49,35,76,24,2.134,63.251
2015,Russia,588,1214,192,72941,30,62,57,45,5.1414,56,48,80,50,1.041,61.868
2030,Portugal,642,7395,441,11655,40,83,67,48,14.3809,65,46,60,45,2.699,63.379
2018,Canada,430,9211,85,78307,23,60,86,76,13.8796,57,34,73,23,5.177,51.19
2019,China,660,3720,357,17164,55,91,96,46,13.9945,52,41,60,45,2.242,61.588
2024,Tunisia,478,3138,338,75227,10,75,66,47,7.3968,75,38,66,32,6.491,71.07
2030,Poland,66,2736,34,50992,63,93,35,55,8.7248,81,38,81,26,4.212,80.996
2018,Philippines,1011,5456,388,28405,57,71,96,53,3.5223,58,13,73,30,3.601,64.421
2016,China,811,4591,90,7765,80,93,59,64,6.3447,60,30,73,14,3.1,76.636
2026,Brazil,835,7664,162,84109,22,62,87,54,13.8161,66,45,71,16,5.586,59.363
2030,Indonesia,428,9377,228,83758,25,66,60,97,6.4624,49,20,90,44,3.259,83.824
2027,Peru,220,2818,93,94910,93,72,67,44,10.1397,84,27,78,37,6.792,63.653
2029,China,921,3392,15,46505,46,50,54,88,6.6724,57,19,67,47,2.388,56.194
2028,Yemen,1136,320,388,12916,28,80,99,67,10.3048,61,35,79,43,1.061,55.525
2015,Sweden,64,1091,166,46617,12,87,47,77,13.6504,49,23,62,13,4.114,40.013
2029,Nigeria,23,562,454,47435,36,64,73,50,14.859,41,49,83,46,4.701,80.993
2022,Philippines,401,8526,24,92266,57,64,83,73,13.0951,78,49,86,39,4.657,73.598
2022,Brazil,934,2353,228,11364,34,80,63,66,7.5171,31,19,77,44,4.541,51.947
2024,Philippines,832,3047,127,71440,31,71,77,50,10.0478,66,17,85,36,3.058,52.089
2023,Russia,407,5375,181,46404,70,84,80,73,12.6635,90,26,65,26,1.157,54.914
2024,Indonesia,118,8912,24,28455,50,99,84,54,13.5014,67,44,69,45,3.01,75.656
2022,Philippines,782,7432,204,24284,30,75,93,75,7.9149,42,13,86,48,4.456,41.21
2023,Pakistan,1244,9157,223,62981,90,94,64,49,10.8481,77,42,62,21,4.649,80.18
2024,Indonesia,592,9929,353,19658,76,83,75,45,4.3098,83,40,66,34,1.355,55.247
2027,United States,533,4621,305,75016,66,57,97,99,10.8928,43,45,69,43,5.562,55.066
2016,China,837,8246,235,37916,79,96,69,83,9.9669,66,49,83,41,5.518,75.564
2027,Indonesia,940,1331,336,63495,31,86,75,73,8.4205,50,34,66,23,6.593,69.303
2016,Mauritius,1135,2777,121,19894,53,81,53,77,6.2861,35,23,89,39,4.177,50.554
2028,Ukraine,1088,8791,288,14652,32,51,64,98,6.7527,35,46,74,24,6.525,42.669
2021,China,297,1987,268,62700,58,59,31,75,5.0531,33,21,62,46,5.884,73.639
2028,Indonesia,829,4411,401,18040,30,61,57,90,4.0988,58,40,85,34,6.855,50.915
2018,United States,538,182,254,5510,68,92,31,63,3.9557,71,42,77,20,5.337,75.371
2027,France,1080,827,54,34205,55,89,56,67,3.6316,70,19,76,45,1.161,40.163
2015,China,1206,8541,257,74299,10,75,96,41,5.7695,47,38,60,36,3.417,87.039
2017,China,1039,5149,308,49158,51,51,64,93,9.0869,43,10,86,27,3.35,64.36
2030,Peru,321,8683,141,52972,64,68,49,53,13.0597,60,39,62,34,2.113,77.986
2022,Indonesia,340,2359,438,70782,31,55,67,64,7.1107,82,44,63,43,5.863,83.52
2027,Germany,198,7828,406,18054,88,55,82,40,13.2228,67,14,88,19,2.179,76.628
2026,Brazil,24,8953,219,18594,83,86,91,69,3.1092,71,11,65,16,5.59,53.794
2024,Azerbaijan,71,5784,47,63119,65,67,64,74,10.4078,42,16,71,23,5.43,55.986
2018,Moldova,139,3750,469,75782,36,66,44,65,5.4243,53,17,83,38,1.141,81.569
2027,Portugal,642,5674,131,42140,13,87,49,54,3.6692,56,41,61,38,5.426,58.512
2025,Costa Rica,561,3825,304,3090,86,63,40,83,12.4332,35,28,62,39,6.972,81.016
2026,France,954,5321,476,87953,23,77,31,50,13.7006,89,44,88,31,1.345,72.881
2015,Cameroon,221,8080,328,25926,100,60,51,94,12.2417,54,28,77,36,6.426,52.08
2029,East Timor,424,8055,280,74394,84,91,73,68,9.8492,75,45,66,40,1.05,56.575
2017,Japan,531,8159,169,99398,49,81,42,92,13.5202,32,33,76,41,1.648,62.368
2025,Peru,693,2820,162,27916,74,82,35,85,12.3711,45,40,67,26,1.674,53.486
2022,Philippines,1204,6956,246,79642,43,61,77,93,13.7587,90,17,61,38,1.015,63.09
2023,Israel,182,3318,275,64219,79,95,52,79,6.9015,73,47,89,40,3.981,85.105
2016,Ukraine,1195,626,220,91878,48,54,67,82,10.9074,69,50,60,31,5.698,41.865
2016,Indonesia,23,7356,130,2386,24,85,75,58,10.6748,47,20,85,44,5.906,84.044
2017,China,1188,8202,104,16310,100,92,30,93,6.8417,51,33,65,18,1.056,40.608
2030,Philippines,107,7097,391,58061,83,70,87,55,9.0116,56,41,69,21,4.334,65.153
2024,Indonesia,493,5875,135,3554,55,79,72,88,3.0106,66,11,67,31,3.728,50.571
2024,China,1170,5479,476,31279,37,72,75,49,11.0218,48,23,62,48,3.142,57.131
2026,Philippines,398,8388,263,75143,99,93,90,71,7.4001,87,16,72,48,3.359,45.896
2022,Pakistan,882,6450,20,7639,46,92,91,62,13.1679,80,41,71,24,6.19,61.499
2015,Albania,46,8374,304,36586,61,65,87,65,13.5487,79,30,62,48,1.599,86.078
2028,Peru,1054,2459,164,13880,93,94,81,97,12.8091,53,25,82,47,1.28,49.927
2019,China,1085,7647,366,38748,54,71,89,53,12.5518,42,11,77,41,6.833,52.369
2026,Brazil,416,5198,395,13796,29,86,78,68,7.7927,32,11,74,44,1.284,52.755
2020,China,388,4134,411,63422,88,99,51,89,3.56,33,12,80,27,3.757,60.839
2029,Honduras,455,1829,25,28140,60,83,71,63,6.5981,73,30,80,36,2.446,61.543
2029,Yemen,363,6696,230,57993,15,51,59,44,3.1638,57,43,68,29,4.097,85.502
2015,Colombia,113,9476,91,94243,82,97,95,93,14.9656,86,28,63,36,2.929,67.175
2018,Philippines,673,2124,495,58476,81,77,57,58,9.4448,30,41,86,47,5.101,87.699
2028,China,717,4227,83,91074,88,59,37,90,14.9361,67,11,63,18,3.467,52.826
2017,China,277,8261,176,63523,98,55,63,86,14.3732,84,21,66,25,3.886,41.6
2027,Sweden,935,1216,358,48619,78,60,69,86,5.6368,65,47,73,47,1.267,72.406
2016,Spain,52,3125,112,45511,79,50,65,72,4.4398,85,39,70,30,1.289,50.243
2019,Philippines,1263,8324,39,9805,45,72,68,91,13.8939,81,21,61,33,4.214,66.731
2021,Indonesia,855,954,185,7084,60,91,61,54,6.1487,61,11,68,45,1.297,79.896
2028,Mexico,765,5470,143,88085,80,54,56,97,6.5649,82,50,88,18,5.382,68.943
2024,France,35,100,399,3241,77,76,54,51,3.1088,58,16,76,48,2.56,55.159
2030,Russia,919,9872,214,93778,89,50,88,69,13.1464,60,40,83,27,2.239,69.119
2016,Tunisia,1116,1147,43,85858,64,61,35,82,6.7951,33,43,81,18,1.941,53.433
2020,Poland,631,3051,292,91480,41,82,85,68,12.4176,84,37,64,44,3.035,67.975
2030,Cyprus,1255,906,430,94418,95,96,87,62,11.6731,88,17,74,26,4.116,56.282
2023,Sweden,643,1862,157,7084,42,94,50,96,13.7637,76,22,75,34,1.542,83.89
2020,Gambia,720,8637,315,68761,51,59,43,71,9.2148,43,42,85,49,5.58,40.029
2017,Russia,787,7296,477,95982,96,74,37,96,4.1241,88,20,86,30,1.706,49.986
2019,Indonesia,153,6353,221,47998,24,63,60,94,3.6789,83,38,69,47,5.708,68.21
2017,China,541,9466,299,80958,67,53,46,78,9.6384,80,14,90,35,2.104,68.345
2024,Croatia,692,3851,138,33882,27,79,61,53,9.2856,69,32,69,48,2.784,67.712
2025,China,256,4290,461,10839,16,63,76,75,10.6573,69,12,70,46,2.45,85.412
2018,Malawi,130,6700,33,83665,24,68,48,85,10.511,61,44,78,30,4.761,45.601
