Year,Country,Infant Mortality Rate %,Healthcare Access %,Income Level,Education Level %,Vaccination Rate %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2030,China,100,89,118291,15,4,67,11.767,48,79,63,19,1.293,10.476
2024,France,98,49,22711,96,30,76,13.4536,48,86,30,21,2.689,49.227
2017,Colombia,32,86,60838,43,60,62,8.5609,16,63,62,49,3.485,37.659
2025,Tanzania,26,79,98727,73,71,65,6.6214,26,41,70,33,4.159,88.565
2019,Portugal,13,95,138438,63,64,12,6.56,45,79,2,24,5.134,17.9
2026,Croatia,11,65,145641,72,44,94,7.0579,47,57,89,30,3.663,35.313
2018,Philippines,74,25,80213,5,83,50,14.1263,54,18,16,37,3.687,90.371
2017,China,84,19,10091,11,63,48,6.5883,22,61,30,36,3.785,89.985
2020,Madagascar,71,16,123439,66,81,28,7.174,76,33,8,27,3.3,18.346
2024,China,24,42,109269,5,81,31,8.079,83,61,83,24,1.855,26.387
2017,Indonesia,69,32,135665,79,91,85,12.1152,97,48,1,36,6.745,69.283
2026,China,34,87,135640,23,65,100,10.5875,92,54,76,18,1.523,1.815
2021,U.S. Virgin Islands,66,62,187671,55,22,50,6.6161,11,73,97,32,5.694,78.926
2020,Ethiopia,7,79,16947,53,30,54,6.5073,41,78,86,29,1.437,56.073
2028,Russia,65,32,97160,52,60,8,9.4064,64,57,0,47,6.459,17.203
2016,Indonesia,48,14,3266,47,37,76,3.31,50,36,25,32,2.479,45.644
2024,Indonesia,18,43,84117,67,64,53,12.0151,55,50,16,49,3.743,44.912
2018,Nigeria,54,69,157805,81,90,55,6.5923,65,99,3,42,1.808,31.004
2028,France,65,53,20913,46,33,92,6.3378,23,68,13,48,1.964,56.961
2025,Ukraine,63,14,41858,3,68,99,8.7018,84,52,7,23,2.052,67.422
2018,Brazil,30,95,43982,29,31,27,5.2597,7,29,36,44,2.579,61.557
2027,Philippines,30,91,66282,2,25,83,5.2467,41,80,20,30,2.737,2.543
2026,United Kingdom,99,83,58632,16,98,58,7.3328,24,31,28,25,6.776,69.803
2017,Pakistan,76,18,97616,76,90,55,4.9415,38,67,77,14,3.472,65.14
2023,China,64,53,9309,95,63,71,11.3653,45,45,36,36,2.497,0.59
2019,Indonesia,78,36,146503,20,79,61,12.3161,50,85,72,19,2.156,85.22
2027,Chile,83,82,66528,11,36,77,10.69,79,64,27,25,6.515,94.592
2021,China,71,60,176554,19,54,40,4.3839,6,23,51,23,5.477,90.202
2019,South Africa,3,76,6768,44,13,54,12.3644,50,90,17,42,5.72,52.963
2020,Iraq,59,58,108752,82,44,79,3.3103,58,66,15,25,3.861,31.702
2024,Indonesia,2,5,6129,11,98,28,8.1128,16,74,3,45,4.593,16.149
2028,Czech Republic,85,23,143701,64,79,66,4.7038,15,47,48,17,3.307,88.115
2026,Poland,39,90,75020,14,96,23,9.0054,14,74,45,21,5.608,77.514
2027,France,39,16,77529,11,74,86,11.9341,71,75,8,39,3.352,76.114
2030,France,93,76,136683,59,92,3,13.4322,82,79,98,40,6.374,64.499
2021,Portugal,66,27,171457,99,4,21,3.1909,2,11,82,43,4.294,45.224
2016,Finland,98,21,48091,21,46,24,10.4692,48,43,84,38,2.765,76.305
2022,Greece,98,51,112768,17,35,52,5.632,93,39,40,38,5.532,33.668
2015,Serbia,61,73,28445,65,86,43,10.6974,34,29,19,47,1.784,88.994
2023,China,2,69,160025,71,54,70,12.9474,27,45,62,46,1.094,0.225
2026,China,69,52,42027,95,8,74,10.785,7,16,14,47,1.542,19.546
2023,Russia,3,36,192770,98,13,36,10.3314,5,74,65,28,6.673,21.926
2030,Poland,67,15,170706,19,89,55,10.9085,94,11,36,23,5.958,86.533
2020,Brazil,38,76,173856,56,62,100,9.1917,77,76,85,24,1.446,76.771
2023,China,51,42,36894,93,43,26,8.9217,56,50,41,16,4.077,78.037
2028,Indonesia,45,77,44584,24,49,53,12.2071,39,45,5,18,5.054,2.004
2017,France,36,20,152293,56,81,85,6.293,24,96,24,23,4.785,90.474
2021,Russia,96,24,50491,43,96,4,5.2506,22,64,4,22,4.9,94.967
2023,Indonesia,93,99,75397,45,22,37,3.7181,50,33,6,39,4.02,41.435
2027,Argentina,37,25,117560,98,40,17,14.7651,35,33,92,33,5.651,44.229
2023,Namibia,11,76,164204,91,87,80,3.382,48,46,16,43,5.478,68.756
2017,United States,45,35,63713,54,28,78,8.8533,76,89,25,13,5.93,44.793
2028,Indonesia,20,16,74155,16,47,7,14.8805,67,67,48,38,4.292,62.861
2015,Vietnam,83,91,158153,33,76,28,14.2655,64,43,85,32,3.569,94.936
2018,Sweden,68,84,35566,32,72,9,4.6846,75,42,88,50,1.497,33.185
2018,China,66,89,93251,85,85,10,6.3699,79,19,67,15,1.586,95.89
2026,Serbia,36,75,153967,11,98,38,3.6765,20,92,58,32,3.745,97.19
2023,Afghanistan,21,98,188967,66,71,3,13.0288,96,21,98,33,4.114,35.691
2018,China,77,10,13572,75,68,71,6.5559,65,63,51,38,1.673,16.723
2028,Finland,19,19,194165,99,93,14,5.2865,76,79,46,17,2.686,20.825
2026,Indonesia,69,37,170421,58,73,7,12.2013,62,38,0,50,6.903,28.77
2023,Laos,53,82,141001,65,24,61,7.2836,60,78,63,14,3.206,53.602
2019,China,78,29,172089,41,26,26,3.9561,95,74,24,15,5.975,81.618
2023,China,84,83,96513,75,95,99,10.141,12,40,53,27,1.532,90.111
2027,Japan,94,53,97650,96,2,56,14.585,1,69,67,47,1.746,94.879
2024,Indonesia,94,20,8805,99,98,79,8.371,85,35,26,21,3.727,37.095
2021,China,79,10,131829,31,48,81,7.9014,63,72,90,33,5.425,23.327
2024,Canada,74,53,111917,7,9,20,13.2954,43,41,67,43,3.674,26.935
2027,Grenada,82,45,179651,72,22,58,9.8941,84,44,35,44,5.254,78.416
2019,Portugal,17,6,45805,5,52,38,12.6289,89,29,59,36,1.951,13.629
2015,France,91,15,43795,70,26,80,8.3762,58,66,65,46,4.867,74.949
2018,Panama,53,6,100621,11,34,70,8.5929,25,15,14,44,2.884,43.146
2022,Indonesia,63,36,135286,68,93,39,13.3242,50,88,27,25,2.44,41.594
2030,China,3,64,43935,32,1,20,3.4219,91,61,28,31,3.784,89.465
2018,Barbados,72,13,134189,31,29,20,6.0259,7,42,75,45,4.781,18.901
2025,Bangladesh,30,5,119352,37,45,57,5.1028,0,54,68,16,6.301,15.518
2024,Brazil,74,16,160147,6,36,84,6.0898,45,38,98,47,1.502,24.247
2019,Indonesia,74,73,101439,85,61,12,13.167,8,97,5,23,1.679,13.049
2024,Guatemala,77,87,19389,27,44,69,11.1031,86,65,73,17,3.092,19.282
2030,China,24,24,187302,27,88,7,3.9448,43,17,70,49,5.489,81.127
2017,Spain,94,64,110066,16,98,79,10.1445,15,15,75,27,5.971,45.858
2024,China,23,63,32284,1,51,60,7.93,44,58,28,40,3.484,25.435
2028,Argentina,40,95,74043,78,99,29,5.4334,45,81,63,14,6.291,67.063
2024,Indonesia,87,31,82292,58,6,65,8.7887,49,100,98,16,3.191,83.213
2019,Colombia,67,89,6573,41,17,35,9.949,5,27,49,44,3.16,91.516
2016,Mexico,27,85,111273,96,50,64,4.3599,84,73,58,40,5.235,50.087
2023,Ethiopia,8,64,184477,37,2,64,9.088,57,58,64,37,2.866,99.372
2018,Zambia,100,84,14056,21,67,1,14.185,86,48,43,50,6.818,71.699
2018,Netherlands,84,13,38617,35,15,11,8.2424,51,37,85,22,3.317,53.684
2027,Indonesia,27,100,71990,71,68,22,7.2956,39,95,2,28,6.611,24.753
2027,Indonesia,70,62,149890,99,63,71,11.9661,70,87,37,23,1.323,6.99
2025,Portugal,66,93,94638,81,68,79,8.554,26,25,81,29,4.44,25.188
2026,Jamaica,74,90,125950,26,48,10,10.5318,97,93,68,25,1.54,82.34
2022,Philippines,8,51,141484,60,11,1,7.4591,88,55,76,44,3.585,19.554
2022,Ukraine,76,74,150591,62,0,7,10.9612,28,34,23,32,5.468,95.984
2030,Philippines,89,43,6160,55,86,29,6.5131,31,35,79,29,5.267,70.555
2026,Portugal,76,72,78084,0,2,7,14.6297,79,71,55,27,6.758,43.252
2019,China,22,37,188871,13,83,69,4.8336,39,89,38,29,5.607,4.655
2025,Portugal,66,85,124340,47,90,78,5.1686,10,59,20,37,2.957,24.821
2030,Russia,33,14,163355,26,53,28,13.7019,15,64,34,36,6.742,98.756
2026,Philippines,26,88,181727,0,47,61,12.0149,95,45,86,23,4.902,95.602
2025,Portugal,62,55,151234,42,73,1,13.1784,23,58,74,36,6.425,58.286
2021,Portugal,7,4,136386,35,90,48,14.2497,49,69,11,50,4.138,56.845
2022,China,23,23,108382,1,70,76,6.5328,31,20,22,36,1.138,9.591
2024,China,72,45,115492,5,54,47,9.9508,91,79,43,33,3.132,49.659
2017,Indonesia,23,2,39723,88,19,5,5.8383,39,67,12,28,3.362,18.469
2030,Poland,80,51,18819,98,89,6,4.7313,75,75,27,50,5.484,62.115
2021,Venezuela,86,83,131016,30,17,7,13.4711,27,37,100,14,1.676,79.668
2018,Bhutan,54,20,157188,33,74,10,5.777,60,65,8,31,5.807,43.556
2029,Japan,4,45,79782,61,10,80,11.1034,91,47,75,15,3.843,85.844
2028,Russia,86,71,178777,2,7,7,14.8702,3,11,15,18,2.609,71.062
2025,Saudi Arabia,54,87,100645,18,28,12,3.9606,56,72,69,21,5.493,80.897
2029,Bulgaria,34,5,73309,7,2,56,8.2462,50,34,34,27,3.703,39.333
2023,Portugal,22,61,47025,39,31,70,6.7152,16,95,6,16,3.113,94.915
2029,Canada,15,61,60109,85,37,60,14.844,72,74,10,32,2.841,75.428
2028,Indonesia,33,79,140749,31,57,35,8.7463,17,25,69,43,5.945,66.437
2023,China,24,76,59754,82,69,34,7.3255,87,36,54,22,3.116,83.226
2018,China,60,56,105494,28,20,48,6.3217,45,53,47,48,1.818,70.371
2016,Argentina,60,60,194802,60,84,40,6.4983,51,53,43,37,3.449,15.373
2023,Ukraine,89,13,147855,24,99,97,7.0832,7,99,8,30,5.351,34.722
2023,China,98,75,161620,56,59,100,8.5034,50,44,39,32,3.9,56.778
2023,Samoa,52,11,90861,15,81,72,10.729,53,93,16,38,2.626,52.775
2023,Hungary,69,84,124502,13,45,64,12.7299,18,27,28,15,1.253,78.427
2025,Senegal,8,96,151833,62,18,18,3.3317,64,25,32,17,1.284,54.589
2022,Indonesia,44,57,107500,13,72,94,11.537,18,37,78,24,3.212,95.85
2027,Indonesia,35,88,88624,91,1,70,12.3383,29,57,94,18,1.143,56.633
2030,Russia,91,82,174899,80,11,80,13.7554,19,15,10,30,6.971,30.299
2022,China,74,76,138768,57,66,46,5.5414,53,78,39,49,6.023,32.935
2019,Poland,79,97,70290,26,48,32,3.0337,9,20,39,33,2.776,67.573
2019,Thailand,70,80,198031,35,82,36,7.657,51,82,20,33,5.072,37.668
2016,Argentina,11,13,139159,63,24,49,10.9436,86,93,59,13,4.179,22.527
2018,Azerbaijan,31,35,150523,21,54,45,14.713,29,95,97,29,2.55,51.054
2025,Poland,88,20,82145,94,2,48,6.8311,64,45,90,44,4.802,82.312
2029,Thailand,20,9,182011,65,41,92,11.6587,64,36,70,23,5.256,36.658
2024,Czech Republic,37,71,89508,23,56,72,8.6422,61,30,26,19,3.117,7.305
2021,Nicaragua,82,98,28304,23,43,9,11.4262,71,81,62,50,3.82,43.735
2017,China,38,39,148827,40,51,59,8.7558,67,48,30,37,6.079,63.474
2027,Ukraine,9,58,178012,21,67,70,8.2456,96,23,95,30,4.288,91.318
2026,China,50,92,157511,67,89,95,10.473,85,90,58,43,1.883,92.467
2019,Indonesia,64,77,1249,4,100,37,8.0826,74,39,98,30,3.765,62.411
2015,China,50,77,89017,46,80,52,4.8148,80,62,74,15,4.606,4.728
2027,Poland,75,67,102500,45,6,27,12.5499,11,81,20,32,2.415,92.271
2024,China,4,2,187118,55,69,59,3.6532,15,86,40,29,2.971,3.598
2024,China,90,27,176849,69,74,4,4.068,58,38,16,49,6.107,39.67
2019,China,15,76,147603,4,77,0,10.6707,56,10,73,40,4.482,43.736
2026,Poland,17,87,89347,24,29,48,11.9616,79,53,11,15,5.363,16.939
2021,El Salvador,56,0,7923,70,41,91,14.7906,91,87,82,48,2.614,50.769
2019,Serbia,93,8,56156,21,76,39,13.7185,19,54,6,19,5.861,81.926
2026,France,14,75,116043,40,70,43,4.5813,74,67,25,46,6.502,33.853
2019,Bangladesh,19,32,198143,37,50,18,8.7323,5,98,77,48,6.851,43.048
2028,Philippines,70,29,12674,39,42,55,7.7002,48,12,7,44,4.13,31.759
2021,Philippines,42,45,69290,23,12,13,8.8649,48,29,33,23,2.289,80.512
2027,China,27,89,137227,50,63,59,14.746,58,44,25,35,6.095,88.102
2018,Venezuela,36,64,163265,83,61,14,6.6916,20,76,36,48,4.795,80.569
2027,Russia,51,55,23256,8,16,98,7.3465,69,29,71,47,3.272,91.943
2028,Russia,30,86,96151,9,90,83,9.3989,16,34,68,33,4.55,51.378
2018,Russia,65,33,146891,67,57,91,13.7382,92,12,11,24,5.482,82.672
2019,Sweden,62,52,169479,8,25,91,12.0656,37,51,50,20,4.682,59.984
2023,Kyrgyzstan,50,33,128911,43,55,53,7.535,54,91,96,33,1.257,21.206
2026,Philippines,82,87,73934,76,63,34,8.5117,75,87,56,22,5.735,98.978
2019,China,12,28,77328,43,63,15,7.709,86,94,98,43,2.29,67.301
2021,Mexico,28,60,55231,25,89,3,8.4789,27,72,90,20,1.563,18.71
2021,Sweden,27,0,130079,26,27,42,12.3217,90,11,5,20,3.912,96.635
2028,Portugal,92,75,99267,96,3,24,5.8154,90,57,75,19,6.626,50.913
2017,Russia,53,95,117722,59,21,20,3.979,90,56,88,22,1.704,67.201
2022,Sweden,41,71,123814,17,62,74,10.0334,86,41,79,16,6.163,72.367
2025,Sweden,61,84,153951,17,45,33,13.2689,72,58,94,34,5.742,73.336
2023,China,18,2,98683,25,11,24,12.0803,52,84,44,42,5.894,79.485
2022,Philippines,41,19,15959,20,42,71,6.0935,71,22,64,39,3.774,90.989
2024,Iraq,17,16,82984,3,59,64,11.9721,57,96,37,27,5.08,77.51
2027,Indonesia,86,34,65487,20,93,31,8.0496,73,75,45,47,5.863,10.432
2024,Iran,93,22,159899,50,13,3,6.4423,59,43,72,18,1.2,39.755
2020,China,22,89,74700,95,8,47,6.0456,48,45,32,13,2.045,52.182
2028,Canada,100,90,193285,29,78,57,7.5209,48,18,93,44,5.428,62.915
2019,Indonesia,21,68,81874,42,85,55,4.397,96,42,65,17,6.196,28.386
2015,Sweden,45,92,26566,20,50,49,13.1239,68,45,86,16,5.773,25.601
2028,Czech Republic,24,24,75233,4,53,48,6.2795,61,52,99,40,2.652,6.481
2015,Yemen,63,76,140857,22,42,22,4.5137,95,31,47,23,3.518,97.794
2030,Slovenia,38,5,82762,99,46,3,9.8693,69,37,54,27,3.502,5.883
2023,Senegal,86,22,72663,31,99,3,7.1157,87,61,17,17,4.179,18.575
2016,South Korea,74,74,75488,68,37,28,10.4436,59,33,33,18,4.636,49.047
2028,Dominican Republic,46,54,135004,21,10,27,11.0259,72,99,38,24,6.675,93.251
2026,Sweden,50,62,32924,92,19,97,3.7549,25,40,10,34,1.143,68.757
2024,Ethiopia,44,11,170078,99,100,50,4.6761,40,86,48,47,2.917,60.249
2021,Sweden,19,76,194349,12,37,69,8.6454,67,24,61,16,3.135,84.169
2029,Portugal,54,16,27056,49,66,46,9.1402,23,74,34,38,3.76,19.373
2021,Czech Republic,10,9,114035,95,30,83,7.6853,24,42,84,27,5.926,62.726
2017,France,66,45,194313,33,77,37,12.7929,18,65,87,32,3.619,49.91
2028,Thailand,75,65,154373,38,53,19,6.3966,79,16,99,42,1.488,96.892
2018,Indonesia,98,94,51104,11,9,26,4.9974,66,83,5,21,3.112,61.68
2022,Czech Republic,2,85,29021,85,57,45,7.8308,69,79,22,13,5.354,37.871
2020,Indonesia,63,88,75155,41,32,23,8.8435,35,51,86,23,1.454,80.97
2021,Russia,32,87,34037,0,48,94,11.214,97,59,69,38,5.261,12.252
2023,United States,73,100,172419,98,76,49,4.8389,97,78,6,33,5.372,91.901
2022,Indonesia,21,49,196532,23,45,32,12.6153,55,39,4,19,5.017,76.95
2026,Vietnam,80,13,81183,6,28,85,9.9662,74,72,16,23,1.241,52.115
2028,China,39,69,100203,53,18,59,8.4386,30,74,8,50,4.314,31.704
2025,Poland,48,38,37284,9,37,65,8.9387,71,46,72,38,6.815,15.791
2030,Austria,88,100,46031,52,85,49,7.1901,77,62,68,36,2.089,57.168
2016,Czech Republic,49,3,107937,85,95,65,12.488,7,72,38,20,5.215,12.728
2020,Peru,19,1,121790,94,39,78,10.2771,78,64,19,41,1.534,5.873
2030,China,49,31,175613,83,58,96,13.9948,13,29,29,18,6.872,44.72
2017,China,32,56,35905,36,13,41,11.6551,25,100,19,27,2.373,51.633
2020,Guatemala,63,39,125674,94,67,21,8.8801,26,29,66,45,5.429,54.241
2017,Indonesia,14,30,171984,41,37,35,14.4155,47,26,6,23,6.093,8.609
2021,Russia,80,74,61851,29,48,60,13.4794,7,89,46,31,1.004,21.946
2025,France,6,73,194073,12,9,38,13.3061,27,97,59,33,6.396,25.351
2027,China,79,81,157950,43,90,34,3.6244,58,88,64,39,3.236,24.546
2028,China,17,16,21039,22,97,84,3.5256,83,88,18,40,5.217,10.941
2021,Sweden,43,84,52787,12,75,51,6.2653,69,91,4,35,1.006,32.289
2017,Philippines,91,1,184357,16,86,33,8.5732,43,36,68,13,2.213,10.657
2015,Antigua and Barbuda,85,67,58615,24,82,90,11.5179,59,14,56,25,1.148,67.498
2017,Sweden,81,45,118415,29,59,56,3.6197,32,44,2,13,3.792,33.03
2026,Afghanistan,22,29,172511,30,54,41,11.947,54,84,82,18,4.565,75.198
2026,Indonesia,85,38,124580,10,88,38,3.1491,64,71,90,49,2.437,99.538
2021,France,41,98,42030,13,40,67,3.8342,79,97,62,30,1.474,30.77
2030,Czech Republic,78,2,155695,59,8,22,13.2272,94,38,89,15,5.018,51.884
2025,Serbia,97,55,136516,19,72,5,5.2857,48,26,88,41,2.958,99.974
2015,Kenya,68,93,187770,14,66,55,14.8587,45,89,91,45,2.712,59.753
2018,China,22,78,6484,19,26,75,8.8366,97,65,0,35,2.787,42.535
2019,Argentina,43,32,115153,33,44,30,6.8744,31,74,44,17,6.5,59.794
2018,China,9,9,17650,35,66,77,12.3718,68,37,4,44,4.259,0.961
2023,Portugal,62,64,118869,30,9,91,5.7415,33,70,31,15,5.86,90.766
2022,Russia,27,64,38213,2,47,71,8.2072,76,38,35,20,5.253,91.511
2018,Poland,20,47,138733,87,12,14,12.595,49,57,11,33,2.167,34.277
2020,Egypt,34,31,46082,62,56,55,7.216,2,46,26,44,2.262,16.079
2029,Ukraine,22,37,81764,32,69,99,5.9025,9,49,65,36,4.256,33.9
2027,Mexico,87,82,147086,27,48,6,8.1524,18,16,10,42,6.279,8.554
2030,Ukraine,22,32,19213,10,94,59,8.3376,93,29,29,30,5.511,15.016
2017,Peru,57,54,167739,53,13,25,10.9458,96,85,98,46,6.927,80.08
2015,China,97,27,82853,70,62,80,12.4487,93,86,79,25,3.041,82.737
2015,Togo,90,52,147455,90,96,13,6.0666,79,66,13,50,1.469,76.899
2017,Sweden,52,10,92318,58,82,86,12.8803,71,36,90,47,6.24,82.975
2029,Japan,26,83,15400,26,14,61,7.8421,26,83,99,49,5.705,50.757
2016,Philippines,96,42,128419,59,61,17,3.6338,98,50,91,39,2.758,25.929
2022,Nigeria,53,24,112720,85,94,85,4.5092,33,25,68,41,6.847,15.367
2024,Indonesia,56,0,99564,34,60,17,3.2721,34,68,78,35,2.731,83.691
2020,United States,59,65,20157,90,95,8,5.4147,27,29,36,36,5.562,25.488
2015,China,64,34,7369,86,26,71,10.1176,58,55,28,39,4.865,53.196
2025,Russia,78,91,123932,18,1,68,11.119,54,98,51,45,5.757,23.868
2020,Chile,29,83,187504,37,87,73,5.026,79,55,61,25,1.987,51.38
2025,China,52,79,65583,91,77,64,3.832,10,50,84,39,2.355,64.248
2030,Malaysia,44,41,42249,83,93,97,9.9962,32,99,78,48,5.195,45.035
2030,Canada,96,42,27677,80,42,6,12.1128,8,66,7,29,6.49,54.418
2030,France,31,34,15056,14,50,60,5.1348,65,19,56,50,2.959,54.731
2023,China,2,61,25578,85,50,0,12.9782,58,98,14,37,2.242,85.495
2021,Ukraine,70,32,73497,52,56,32,6.214,69,27,14,20,6.521,67.144
2016,China,11,61,87847,16,85,78,7.2722,97,68,42,40,3.209,36.631
2018,Yemen,66,69,180846,30,65,24,12.191,86,85,73,30,5.808,63.291
2017,Guatemala,66,48,174899,86,16,71,4.0538,20,78,77,21,1.928,52.287
2024,Greece,54,11,18534,1,9,63,3.3354,16,12,39,28,5.559,32.336
2016,Vietnam,10,93,106927,87,87,57,6.5782,45,27,77,25,3.58,5.799
2021,Ivory Coast,74,52,40563,95,33,76,3.9633,0,67,65,24,1.922,32.845
