Year,Country,Maternal Mortality Rate ,Skilled Birth Attendants,Healthcare Access,Income Level,Education Level %,Maternal Health Services %,Contraceptive Prevalence %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2029,China,1300,5157,495,90545,82,66,44,58,12.1978,81,15,82,30,6.667,43.842
2029,Netherlands,794,9356,188,67585,41,86,82,85,14.6286,35,21,90,21,2.408,44.616
2028,Russia,1239,8025,358,9389,73,91,98,57,12.8145,34,35,65,46,3.542,47.016
2029,Indonesia,144,9826,473,95581,37,68,95,94,5.6044,55,24,83,15,2.444,70.262
2021,Bulgaria,992,9766,494,14478,18,63,59,77,10.0798,43,15,70,22,6.9,58.454
2021,France,280,3998,488,31395,20,51,64,99,11.4868,56,24,90,44,4.049,54.356
2019,Sweden,349,9536,495,9809,53,74,46,96,14.4531,59,34,65,30,4.43,46.963
2016,Ukraine,313,635,78,51515,33,71,54,53,14.0868,86,42,85,20,2.719,63.118
2029,China,51,4394,243,60202,97,50,90,98,8.5766,32,14,63,43,2.432,41.259
2018,Norway,1120,6454,282,69332,35,92,77,86,14.7012,52,33,67,34,4.36,57.11
2022,France,873,7509,346,7600,84,73,78,55,3.8527,42,23,79,26,1.359,70.201
2025,Russia,1125,346,164,26268,92,94,32,75,3.8034,63,15,84,38,2.439,77.887
2021,Ethiopia,87,771,403,25404,97,100,75,100,6.1527,47,30,89,45,2.092,44.038
2023,Indonesia,739,1232,375,55328,16,92,47,60,7.2437,42,44,65,48,5.698,82.073
2017,China,534,6227,346,11825,44,61,41,83,4.3308,86,16,65,24,4.794,54.483
2027,Russia,182,180,236,67500,12,64,44,68,4.8949,47,10,70,46,1.171,44.017
2022,Finland,1231,8938,297,47584,67,91,71,99,4.8515,63,39,63,43,6.391,69.133
2028,China,144,1724,257,87418,31,100,72,86,7.2231,36,18,81,17,3.031,60.214
2023,Nigeria,721,2291,66,30428,44,50,63,80,10.8263,80,18,84,31,4.805,80.762
2019,Latvia,555,1844,75,49948,96,90,93,47,10.4914,68,29,76,41,4.122,56.763
2028,China,1266,6427,391,52875,15,93,39,76,14.0076,69,26,78,16,6.373,59.537
2017,Monaco,537,5726,190,77720,81,88,35,47,3.4591,88,14,90,50,3.757,65.921
2022,Indonesia,243,677,103,20406,60,70,85,63,5.7113,88,31,88,38,6.544,70.846
2022,Russia,657,7743,46,11185,53,69,34,51,10.3872,31,27,90,46,5.061,85.027
2024,Benin,375,9105,431,69056,61,89,75,87,3.8042,65,24,90,35,6.032,47.758
2029,China,1118,7512,407,4066,22,94,91,83,10.8343,44,23,89,31,2.412,43.168
2025,China,881,767,58,35447,40,81,41,93,4.151,88,20,62,32,5.862,73.236
2017,Philippines,220,7229,161,28091,87,73,94,54,7.4516,44,24,83,31,2.809,79.617
2017,Poland,497,413,256,83226,39,99,89,44,9.3936,90,31,73,35,4.336,72.177
2020,Ireland,1033,161,73,89576,51,88,73,78,9.9571,42,15,82,14,6.344,63.103
2021,Brazil,1030,6214,258,43687,64,93,86,89,10.7458,67,35,75,29,4.711,87.384
2019,China,726,5851,500,86524,34,86,60,64,3.6567,62,26,76,29,6.15,70.463
2018,Latvia,720,523,208,45243,25,59,55,64,13.7189,76,14,64,35,5.265,40.748
2020,Indonesia,765,2407,39,29510,95,71,77,51,6.7936,76,30,70,30,6.487,41.728
2017,China,571,7445,185,50087,49,74,70,75,7.9015,86,15,80,27,6.839,67.877
2018,Indonesia,618,7926,28,26148,80,94,78,40,12.4312,64,25,85,31,6.091,66.155
2028,Brazil,672,7833,331,84443,64,59,80,56,13.5361,41,30,62,16,5.512,49.546
2016,Sweden,1255,8245,363,51214,75,68,57,61,5.613,57,30,85,48,1.855,49.718
2018,Norway,354,8461,357,72136,48,79,83,77,12.7526,36,31,68,32,4.053,41.276
2022,Saudi Arabia,427,3639,248,63199,26,90,61,87,12.9101,90,21,66,18,5.853,88.357
2027,Cuba,1048,619,288,25267,34,79,63,80,3.4268,89,46,73,20,2.485,75.083
2015,Argentina,185,4152,469,26127,55,100,67,63,4.5762,81,22,67,37,1.448,49.729
2016,Philippines,998,1122,103,16097,28,98,43,87,11.9293,63,36,87,19,4.73,40.959
2024,Ireland,245,753,75,61191,42,67,81,84,3.9008,60,13,66,36,1.996,43.571
2028,China,375,6575,493,34611,95,56,69,57,14.0857,64,29,71,19,5.033,61.775
2026,China,602,6657,478,14821,15,72,39,81,10.2531,78,26,70,28,3.257,84.477
2030,South Africa,567,9860,244,12169,68,52,51,55,10.0277,38,27,62,48,3.925,51.842
2029,China,101,2853,85,99032,96,83,72,87,4.9569,36,24,69,43,3.373,89.233
2030,Iran,377,5768,486,6571,91,64,47,99,10.4275,35,46,68,13,2.666,56.029
2023,China,125,6247,471,10123,51,96,85,61,7.506,76,32,81,38,1.055,68.708
2023,Venezuela,1235,3018,67,35721,78,73,98,75,7.4991,72,27,60,13,2.967,66.241
2016,Portugal,317,7635,25,5977,53,62,67,90,13.1608,41,50,62,29,4.428,49.546
2029,Cuba,995,6174,423,12356,40,71,87,68,3.2501,61,38,61,16,2.671,74.018
2024,Mexico,201,5919,137,65849,61,92,60,76,13.375,37,30,82,28,5.131,47.298
2018,France,51,8483,106,31685,39,91,31,52,6.5937,64,25,81,34,2.467,66.408
2024,Poland,932,3368,300,39697,35,56,41,43,3.8182,59,49,67,35,2.992,65.746
2016,Yemen,162,5637,462,88838,88,86,37,95,11.5599,49,19,73,13,4.148,78.548
2023,Thailand,156,1834,259,31108,78,63,38,67,7.6072,37,17,72,35,3.432,53.661
2022,China,260,560,139,60169,93,82,98,85,11.3819,72,10,73,28,3.994,63.365
2026,Indonesia,162,3515,121,62483,33,100,64,64,13.5044,60,45,74,14,6.766,70.583
2019,China,882,1988,269,56033,70,51,71,66,14.5379,45,45,86,21,5.77,82.117
2022,Peru,49,5356,179,14955,26,50,53,48,10.9566,73,39,69,17,1.029,69.765
2022,Indonesia,432,2797,261,5961,24,90,63,83,12.6606,45,13,87,36,1.228,66.276
2025,Kazakhstan,440,482,233,20808,99,77,89,46,10.5822,56,40,74,41,1.153,81.45
2022,Philippines,879,4049,460,53137,45,63,84,93,10.649,54,44,61,44,6.475,77.202
2022,Portugal,15,3416,428,85512,20,96,92,84,13.3871,31,17,81,15,4.733,64.748
2025,Japan,375,7921,51,93215,87,85,48,62,6.9439,47,14,72,22,6.963,72.977
2028,Russia,484,7147,236,20144,10,77,45,46,10.2565,34,19,60,16,3.402,77.167
2021,Peru,1145,3278,488,83735,19,84,66,65,14.1429,43,48,61,30,6.37,55.339
2019,China,85,9392,316,64639,58,66,63,50,3.5579,43,39,78,24,4.725,87.393
2017,Peru,1163,7967,112,25582,15,56,92,58,11.9594,65,44,60,39,1.055,83.312
2024,China,411,87,112,54162,77,60,94,92,3.4516,76,32,82,27,3.931,82.459
2024,Yemen,1245,5280,181,71090,57,93,55,79,5.0686,83,15,83,35,3.994,49.878
2015,Sweden,1122,2154,134,41221,52,100,91,40,13.8614,75,49,86,44,6.137,49.858
2019,China,71,8257,26,84841,87,79,33,58,7.5389,70,26,65,35,3.596,81.772
2017,Thailand,317,4322,174,97105,80,83,63,41,12.3885,44,41,60,46,4.956,75.54
2024,Spain,864,5166,239,94283,79,53,79,78,5.2408,41,20,73,18,1.59,50.392
2021,Argentina,900,8729,86,74767,57,74,89,45,10.2031,71,50,64,44,1.198,49.206
2026,China,1297,8430,30,37080,93,65,31,96,8.7176,44,49,71,27,2.393,50.812
2029,Suriname,984,9340,404,20025,14,65,91,63,6.5157,86,39,68,23,4.961,44.709
2021,Sweden,1023,2172,54,64268,63,75,55,86,10.3837,31,41,75,24,1.831,65.937
2026,Greece,272,6628,113,22567,38,83,78,88,11.4903,39,31,83,13,5.086,64.633
2030,Portugal,338,6649,308,43125,65,58,79,50,6.9107,84,35,77,40,1.197,42.75
2025,Kiribati,1289,7013,223,98734,15,64,59,48,5.2656,38,29,74,24,1.114,65.362
2025,United States,740,5121,138,97848,89,86,56,47,6.8747,47,20,68,46,6.18,86.225
2018,Portugal,968,9675,312,24406,32,53,33,55,13.781,38,17,66,33,5.824,80.938
2022,Kazakhstan,1131,4735,291,29305,72,78,95,87,9.4239,56,31,65,16,1.306,50.326
2018,Czech Republic,453,7945,222,73593,22,90,97,47,7.3701,42,50,66,35,5.416,69.012
2030,Kazakhstan,993,6699,34,47283,89,77,50,50,14.4387,51,44,82,32,4.803,86.277
2028,Sweden,1248,2232,102,20083,75,73,79,94,14.0103,33,31,68,50,6.472,60.874
2030,China,711,416,488,49843,87,91,32,57,7.2291,70,29,90,40,4.931,86.055
2020,China,874,4652,470,62098,45,55,78,92,9.9979,67,14,64,30,4.854,47.294
2022,Cameroon,1024,394,211,87212,11,65,41,57,9.0956,42,34,89,37,4.501,86.851
2027,Palestinian Territory,443,6490,129,3998,56,54,51,71,11.8601,59,49,76,36,3.68,81.346
2024,United States,988,4289,101,52007,73,76,93,56,13.3689,32,21,69,23,3.895,45.022
2019,France,1070,6349,267,86374,94,53,49,100,14.7537,72,26,66,31,1.794,85.738
2024,Cape Verde,447,8713,474,94685,22,82,72,59,8.0294,55,32,69,47,4.969,69.421
2023,China,1149,3290,480,72004,15,84,44,60,5.1849,83,46,61,38,1.099,55.422
2015,Israel,333,8347,346,75766,98,76,31,62,13.1136,45,49,65,43,5.867,86.018
2026,Canada,1061,9601,39,85975,28,59,71,80,10.0874,33,41,68,40,4.459,54.305
2023,Czech Republic,222,3395,27,42980,98,65,43,61,4.2513,81,41,64,28,6.464,46.54
2022,Indonesia,880,7825,420,92785,15,59,60,53,12.8181,67,26,79,48,3.139,41.647
2019,Philippines,371,2169,293,53827,100,96,30,84,4.44,44,41,72,43,2.197,78.367
2023,Portugal,491,1390,286,56923,89,91,98,54,7.8236,63,35,73,36,5.778,52.556
2015,China,598,2000,384,46730,72,80,80,77,11.1628,57,29,72,16,4.899,42.168
2030,Colombia,980,9757,292,14734,39,100,95,41,12.308,45,17,88,22,1.197,76.754
2016,Norway,732,6795,150,71490,29,55,76,76,13.2127,50,17,60,39,3.011,65.713
2021,Palestinian Territory,299,9301,142,5706,76,73,91,85,5.1847,54,20,67,50,2.859,45.786
2024,China,212,5908,146,46932,38,66,90,50,8.7372,65,14,81,37,6.573,82.446
2024,Vietnam,261,2271,309,18805,16,90,51,53,5.534,88,18,76,21,2.586,40.845
2020,Portugal,1174,6257,156,54281,11,64,43,52,14.5377,76,50,87,20,3.777,50.23
2016,China,1144,6113,81,23823,89,53,71,46,8.8646,59,39,71,25,1.235,52.449
2016,Palestinian Territory,936,7640,287,4802,50,88,55,94,11.6204,43,17,67,28,3.98,78.207
2024,Thailand,167,9591,373,23935,22,74,41,93,14.8172,84,45,60,27,5.612,48.249
2023,Bosnia and Herzegovina,619,3610,386,81729,56,60,50,50,13.065,44,31,65,39,4.847,43.926
2029,Indonesia,616,4438,469,3877,93,91,54,87,14.0965,82,14,71,45,3.631,42.423
2021,Ecuador,186,9703,407,70087,56,59,32,93,10.9723,51,38,65,48,6.368,78.134
2026,China,816,4605,415,1263,24,68,59,79,3.1362,36,36,61,49,1.14,43.05
2026,Indonesia,413,9568,170,70544,85,57,30,96,4.6807,32,17,63,26,4.947,44.883
2026,Indonesia,218,8289,231,87222,78,63,56,59,14.4631,44,17,65,19,5.69,77.677
2018,Vietnam,706,2250,267,18311,46,98,41,57,4.7858,32,41,63,48,2.111,50.027
2029,Croatia,268,2800,288,45817,89,88,49,92,8.7279,51,18,76,48,6.402,42.545
2028,China,894,1088,443,47767,11,80,44,93,7.9284,33,35,64,29,1.3,62.326
2029,Russia,1228,990,327,11704,15,74,45,81,4.104,44,21,77,37,2.455,89.969
2029,Brazil,491,6969,233,99507,58,63,31,87,10.1918,89,12,66,36,4.646,52.254
2025,Ukraine,423,2326,84,59863,60,72,67,62,8.6753,30,22,75,21,3.892,74.619
2029,China,1018,6039,170,97151,100,58,34,49,12.4977,33,43,66,33,3.856,88.205
2019,Indonesia,807,1631,342,36873,44,53,76,53,9.2397,83,37,82,28,2.865,80.291
2017,Honduras,686,4339,109,5096,60,50,75,98,5.1054,49,41,79,19,3.83,74.309
2024,Argentina,581,7443,452,97402,76,65,83,61,4.1063,44,37,89,21,3.053,52.769
2018,China,43,3197,323,8620,89,90,84,44,4.514,87,12,83,18,2.758,74.409
2028,China,387,3034,358,32161,49,57,62,84,9.6548,54,30,69,24,2.869,44.843
2018,Morocco,388,3821,256,52120,83,69,79,66,14.8437,78,15,66,37,5.489,79.476
2016,Thailand,565,7293,204,7749,24,95,50,75,7.9357,57,31,75,19,6.723,59.771
2020,Portugal,301,3248,497,95329,81,82,46,48,4.4692,81,48,67,23,6.587,77.553
2021,France,1143,9687,256,84331,90,62,95,78,3.7685,46,38,77,22,3.471,75.509
2022,Ukraine,684,6620,207,39006,44,87,74,56,5.618,61,43,81,39,5.799,75.816
2017,Central African Republic,861,2625,75,40472,46,59,75,64,13.4897,67,13,65,39,1.846,73.931
2029,Indonesia,723,5857,262,37327,81,72,35,70,8.4354,51,16,67,21,1.152,51.776
2019,Portugal,1143,2374,342,7000,54,52,58,49,8.7907,83,13,63,31,6.645,42.151
2018,China,1223,3987,179,77482,95,87,80,48,8.057,53,18,79,48,1.465,46.492
2018,China,601,5198,297,4462,48,98,97,63,13.2175,31,24,81,24,4.637,71.589
2017,Philippines,729,5176,455,95647,18,55,35,76,5.9756,41,25,73,25,2.854,87.715
2015,Philippines,800,6630,17,98772,15,81,97,58,9.673,49,14,61,14,3.757,75.306
2023,Philippines,548,7044,339,23404,91,78,43,43,12.0422,83,15,76,14,5.41,44.039
2023,Tanzania,797,4555,492,16434,41,56,97,94,6.4675,38,13,87,48,5.966,70.076
2024,Madagascar,361,5889,289,42892,61,75,77,85,9.9031,86,38,79,15,2.548,41.031
2020,Cuba,530,5079,176,68178,57,61,83,87,4.8411,88,32,78,27,4.139,59.716
2023,France,669,843,69,46738,60,57,42,83,7.0498,62,34,72,29,2.193,59.164
2016,Philippines,439,6234,83,87227,55,96,62,80,5.4968,58,27,71,46,1.084,67.556
2029,Israel,984,1146,250,30017,88,57,45,52,5.5941,81,19,73,32,1.393,59.984
2030,Colombia,423,7894,395,88550,88,85,48,49,4.9686,34,26,81,19,6.022,83.573
2020,Indonesia,926,2217,356,58015,57,55,70,89,10.2162,40,41,76,16,2.104,77.344
2018,Belarus,567,2743,312,55241,57,67,92,42,13.2126,41,35,87,26,5.487,59.6
2015,China,1218,4873,306,52131,74,51,45,100,12.3286,45,15,72,41,2.097,75.229
2019,Poland,1056,2866,145,65358,25,93,81,96,7.1902,69,50,68,31,6.529,75.72
2024,China,564,7857,287,90922,51,93,70,40,7.4788,41,26,85,49,6.622,64.177
2023,Philippines,319,3245,30,64686,78,59,31,55,6.2251,74,21,68,31,3.695,87.013
2021,Colombia,1088,5124,258,21734,16,83,82,58,9.2687,66,19,60,16,5.532,51.924
2015,Colombia,818,2755,315,95601,82,97,98,79,13.6602,33,32,61,27,3.878,53.5
2029,Guatemala,987,1965,213,24264,11,82,94,63,7.7857,55,41,84,24,5.443,42.391
2019,Brazil,122,5332,320,11234,22,57,62,82,6.2557,45,24,65,38,6.455,72.357
2030,China,3,4664,442,5852,36,90,35,71,14.1381,65,34,66,34,1.585,67.871
2019,Brazil,740,6917,78,8606,24,66,77,88,11.125,55,22,81,17,6.277,80.107
2022,Yemen,258,1082,37,59978,100,82,59,84,13.4624,89,13,89,24,5.607,81.568
2021,Brazil,770,582,220,74524,83,86,88,58,5.1823,45,33,73,24,4.118,54.491
2018,France,860,8639,434,73975,89,63,99,98,14.0555,90,26,81,31,5.815,84.525
2024,Indonesia,204,8203,101,48545,10,97,39,89,5.1837,50,26,70,27,6.506,85.999
2029,Russia,1286,3555,239,41403,18,99,84,47,6.4979,73,27,73,32,5.128,78.745
2018,Philippines,523,7463,124,79633,24,63,62,100,5.4449,62,34,80,43,2.14,76.443
2016,Indonesia,117,152,216,86616,47,98,86,92,14.0762,51,33,72,24,4.49,72.683
2029,Philippines,1283,6142,67,30135,25,97,40,54,3.6254,33,11,60,35,2.388,57.125
2017,Russia,551,8772,263,65727,47,63,72,88,5.4677,39,50,90,36,1.769,50.2
2026,Russia,719,9792,96,27624,81,82,100,48,8.3001,50,11,71,41,1.289,71.168
2028,Chile,473,8931,254,89724,52,67,69,87,6.336,66,46,85,15,4.846,89.413
2017,Honduras,1101,421,153,33023,88,86,60,65,6.2208,41,11,66,16,5.586,63.014
2024,Canada,724,9837,224,48054,76,73,50,60,13.5643,83,45,76,46,5.578,45.214
2025,Norway,984,9676,142,13035,90,96,76,83,14.5328,45,30,84,48,1.254,68.53
2021,Indonesia,301,8752,357,68497,18,98,45,90,9.1276,87,50,62,46,1.715,88.235
2026,Indonesia,382,6455,119,6703,19,83,71,92,13.2135,61,12,75,29,1.142,52.89
2021,China,908,7723,379,94848,16,79,76,84,3.8527,74,22,88,50,6.067,86.862
2017,Ethiopia,435,8852,239,41699,28,61,54,91,13.6472,75,16,89,33,6.701,70.582
2028,China,1068,2799,481,89060,94,71,55,73,5.0673,50,18,84,18,6.097,46.219
2025,United States,174,4820,431,42537,50,65,38,75,10.2734,63,19,73,37,3.354,43.838
2017,Russia,159,1926,98,5678,63,72,67,74,9.1888,77,31,61,37,4.485,69.594
2019,Poland,646,4613,88,8655,19,88,53,68,12.8341,45,44,84,32,4.167,78.01
2028,Ivory Coast,867,1864,301,51482,37,51,75,62,11.324,44,25,90,19,4.715,53.979
2022,Sweden,974,1365,176,98750,95,68,55,62,9.6229,61,41,80,45,6.499,59.201
2025,Azerbaijan,881,5920,263,75441,56,51,39,83,3.8715,34,47,86,35,5.244,67.811
2020,China,313,6544,401,72799,97,63,69,51,3.3387,47,20,89,44,3.464,80.823
2019,Russia,99,4289,330,88669,26,63,44,84,8.7863,88,27,77,14,1.163,76.735
2021,Australia,363,288,333,82482,41,50,98,58,6.3246,76,14,61,30,2.967,60.216
2030,China,404,2055,319,11840,58,82,51,89,4.3865,39,48,71,25,5.075,82.199
2020,Portugal,1260,9825,427,83013,96,56,56,96,3.6189,38,18,67,30,5.865,54.074
2025,Philippines,560,3562,231,18745,55,73,65,84,13.3711,50,20,64,32,6.913,57.448
2029,Yemen,1009,4168,122,40499,63,75,52,42,13.5569,31,22,65,30,2.951,40.022
2019,China,607,8526,471,61301,30,57,87,87,5.4895,82,18,77,26,2.751,48.973
2017,Finland,561,4979,93,75590,68,88,80,59,4.9864,32,47,68,39,6.309,52.191
2018,Philippines,1259,5599,351,20290,56,67,81,59,10.5029,88,16,62,16,4.927,89.496
2020,Brazil,713,5633,94,59987,77,54,41,46,13.8123,80,44,80,18,1.429,71.542
2024,Egypt,173,9734,284,64076,88,68,64,87,10.9025,45,33,89,43,2.34,83.389
2023,China,664,8480,325,1660,76,80,47,65,10.9747,67,41,75,48,4.266,79.776
2015,Argentina,1034,5976,22,28307,98,87,82,48,13.2114,77,42,76,48,6.905,70.475
2025,Philippines,562,9192,315,3626,54,99,96,48,4.2589,86,13,70,40,5.689,42.421
2018,Luxembourg,391,7611,233,57148,25,61,81,79,10.3646,55,30,72,29,1.332,71.774
2029,Argentina,1035,4278,355,69105,69,73,58,85,8.1625,68,43,81,13,5.958,74.475
2025,Ukraine,914,3850,111,85407,12,59,87,51,9.5569,32,22,61,18,3.808,87.807
2022,Indonesia,601,3159,96,15620,93,54,62,91,13.7759,59,44,81,42,1.353,67.235
2020,Indonesia,843,9810,52,49786,42,61,92,46,8.0106,58,28,68,40,6.461,69.563
2029,Egypt,131,61,205,82606,57,83,87,54,14.9819,52,10,89,21,5.484,75.474
2018,Mexico,604,529,378,43619,19,97,54,96,10.7558,60,40,61,32,3.16,73.209
2022,Sri Lanka,20,7589,176,42882,75,79,73,83,11.9657,53,36,82,30,1.473,49.165
2015,Tunisia,664,4912,316,67692,44,63,45,49,6.0987,66,35,65,16,3.746,76.679
2021,United States,562,533,474,73386,19,93,63,68,3.5561,49,11,90,49,2.811,71.114
2020,Indonesia,377,4883,78,51126,73,78,35,87,11.9313,31,28,71,25,6.77,50.199
2025,Poland,342,1490,206,34933,66,94,60,90,12.3789,42,48,84,16,6.183,65.024
2015,United States,534,4309,169,1938,96,88,94,49,4.0441,82,20,85,49,2.67,78.223
2029,Malaysia,111,3622,491,62934,52,81,41,90,7.3818,42,47,75,50,5.547,47.206
2030,Nicaragua,705,7781,351,65673,68,72,95,76,8.9192,69,27,87,32,4.662,78.594
2022,China,501,4750,21,96156,67,58,62,82,8.7433,65,33,90,16,3.33,54.14
2017,Argentina,247,5987,446,97807,52,74,61,90,8.0574,82,11,67,35,5.649,58.809
2026,Argentina,1222,9198,230,91633,39,74,80,72,6.7802,76,48,61,18,6.978,68.842
2021,Indonesia,6,2102,492,38548,25,60,76,59,10.5122,63,35,62,39,6.592,42.484
2022,Russia,718,6734,177,8480,13,65,97,51,7.5444,85,36,81,39,2.561,82.319
